iter	Passed	Remaining
0	137	137364
1	138	69115
2	141	47064
3	142	35552
4	143	28538
5	144	23872
6	144	20531
7	145	18022
8	145	16069
9	146	14512
10	147	13248
11	148	12211
12	149	11314
13	149	10548
14	150	9885
15	151	9302
16	151	8787
17	152	8330
18	153	7919
19	154	7552
20	154	7225
21	155	6923
22	156	6644
23	157	6392
24	157	6160
25	158	5948
26	160	5772
27	161	5604
28	163	5460
29	164	5307
30	164	5156
31	165	5013
32	166	4880
33	167	4755
34	168	4639
35	169	4527
36	169	4422
37	170	4322
38	171	4228
39	172	4151
40	173	4068
41	174	3984
42	175	3905
43	176	3828
44	176	3754
45	177	3683
46	178	3616
47	179	3551
48	179	3489
49	180	3429
50	181	3372
51	181	3317
52	182	3263
53	183	3213
54	184	3164
55	184	3117
56	185	3071
57	186	3028
58	187	2985
59	187	2944
60	188	2904
61	189	2864
62	190	2826
63	190	2789
64	191	2755
65	192	2721
66	193	2689
67	194	2660
68	195	2634
69	196	2606
70	197	2583
71	198	2556
72	199	2528
73	201	2527
74	203	2506
75	204	2481
76	204	2456
77	205	2431
78	206	2408
79	207	2385
80	208	2364
81	209	2343
82	209	2318
83	210	2297
84	211	2280
85	212	2263
86	214	2251
87	215	2232
88	216	2215
89	218	2207
90	219	2193
91	220	2176
92	221	2159
93	222	2140
94	222	2123
95	223	2106
96	224	2089
97	225	2073
98	226	2057
99	226	2041
100	228	2029
101	228	2015
102	229	2000
103	230	1985
104	231	1972
105	232	1957
106	232	1944
107	233	1931
108	234	1917
109	235	1904
110	236	1892
111	237	1880
112	237	1867
113	238	1855
114	239	1844
115	241	1838
116	242	1827
117	243	1817
118	244	1806
119	244	1796
120	245	1785
121	246	1773
122	247	1763
123	248	1752
124	248	1741
125	249	1731
126	250	1720
127	251	1711
128	252	1701
129	252	1691
130	253	1682
131	254	1674
132	255	1666
133	256	1657
134	257	1649
135	258	1640
136	258	1630
137	259	1621
138	260	1613
139	261	1604
140	262	1596
141	262	1586
142	263	1578
143	264	1570
144	265	1562
145	265	1554
146	266	1546
147	267	1538
148	268	1531
149	269	1524
150	269	1517
151	270	1511
152	271	1504
153	272	1497
154	273	1492
155	274	1485
156	275	1478
157	276	1471
158	276	1464
159	277	1458
160	278	1450
161	279	1443
162	279	1437
163	280	1430
164	281	1424
165	284	1428
166	285	1422
167	286	1417
168	287	1414
169	288	1409
170	290	1406
171	291	1401
172	292	1398
173	294	1397
174	295	1392
175	296	1387
176	297	1382
177	298	1376
178	299	1372
179	300	1367
180	301	1362
181	302	1357
182	303	1353
183	304	1350
184	305	1345
185	306	1340
186	307	1337
187	308	1332
188	309	1327
189	310	1324
190	311	1320
191	312	1315
192	313	1311
193	314	1306
